调度,案例编码,干扰源数,清除数,虚拟总时间_s,每源时间_s,检测次数,换频次数,程序运行时间_ms,清除失败
immediate,B5N5-2T4H-ASCH-HCJC,15,15,6839.781087,455.985406,94,69,1044,0
immediate,5FUA-9878-NYM2-VR6E,10,10,5145.967909,514.596791,120,101,700,0
immediate,NFYB-VYPU-QCUU-ZA9P,10,10,5684.010619,568.401062,107,89,818,0
immediate,WDFZ-XQVD-EX76-U4ZS,13,13,6045.118775,465.009137,108,88,1199,0
immediate,NWPT-JDS9-J6UB-H2YR,14,14,6688.952302,477.782307,120,92,1302,0
immediate,SB2F-ZMSP-BYMD-5PHV,16,16,7435.797699,464.737356,105,74,1258,0
immediate,M5YR-QPJ9-SEJA-4338,13,13,6956.199542,535.092272,99,73,1120,0
immediate,RJHS-3FFB-2KYA-UXEX,12,12,6009.662706,500.805226,106,83,882,0
immediate,JMS4-UKN9-BYTP-B56W,10,10,5928.229025,592.822903,113,93,954,0
immediate,VJVM-B6TG-X5XE-RDH5,13,13,6209.362925,477.643302,106,79,960,0
immediate,ASMC-6HXR-HMR7-4ATB,15,15,7203.939152,480.262610,113,87,1222,0
immediate,J4MS-73A4-42H8-9MXJ,14,14,7237.462174,516.961584,105,76,1193,0
immediate,H6SD-X5ZF-ASB4-MUSB,13,13,6537.622103,502.894008,103,79,948,0
immediate,YCSQ-S25Q-FJNA-H63Q,16,16,7606.210756,475.388172,105,75,1202,0
immediate,84FY-RTAY-G8WT-EUAW,14,14,7705.681437,550.405817,112,79,1243,0
immediate,X5SS-NWMQ-9NBB-G456,11,11,6915.674017,628.697638,109,83,928,0
immediate,M3N3-BVED-GRQJ-J989,13,13,6168.801227,474.523171,98,74,1223,0
immediate,YE2R-VYBY-UNC8-597Z,14,14,6445.732536,460.409467,101,76,1206,0
batch,5YTN-3F8J-WDU3-GCGR,11,11,4890.645802,444.604164,103,93,896,0
batch,2N34-QVHS-3UY5-FS3G,13,13,5675.772071,436.597852,102,82,1182,0
batch,7TKT-UTZC-MPX9-BZSA,11,11,4883.697755,443.972523,121,106,1042,0
batch,RS46-68DK-CU9Z-YGPU,16,16,5128.201367,320.512585,78,63,1124,0
batch,Z9F6-A2SJ-8HDK-FAVJ,16,16,6026.602314,376.662645,95,75,1125,0
batch,7ZGW-NZ63-ZPKX-WXRN,13,13,5770.689176,443.899167,101,83,954,0
batch,35UY-6RJV-N3SG-2CGC,13,13,6024.449304,463.419177,105,86,1169,0
